id,ts,rid,av,sv,ch,md,dr,os,cap,mkt,wid,c,st,ctx,ov,sd,ep,eb,ea,es,tp,sh,srq,sfl,b5,cs,fee,status,xp,pnl,er,xt,tx,xb,xa,xs,ms,me,eds,ods,drt,maxb,minb,ttmax,ttmin,tfp,sc,hc,fp,ff,why,v30,v60,du,dd,te
1321,2026-04-14T16:01:53.322341,,,,,,1,,,btc-updown-5m-1776182400,,btc,single_leg,,0,down,0.3,,,,0.82,10.0,,,0,3.0,0.06336,closed_loss,0.15,-2.112,loss_cut,2026-04-14T16:02:06.390028,173.784143,0.15,,,,2026-04-14T16:05:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only -0s remaining,-0.06483223401471146,0.0,0.0,1759.0727,-0.305644
1320,2026-04-14T15:58:01.551872,,,,,,1,,,btc-updown-5m-1776182100,,btc,single_leg,,0,up,0.19,,,,0.82,15.0,,,0,2.85,0.07128,closed_loss,0.13,-1.8396,loss_cut,2026-04-14T15:58:08.793333,111.399765,0.13,,,,2026-04-14T16:00:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 0s remaining,-0.04449338318502936,0.0,480.2636,0.0,0.455067
1319,2026-04-14T15:51:54.985373,,,,,,1,,,eth-updown-5m-1776181800,,eth,single_leg,,0,down,0.16,,,,0.82,18.0,,,0,2.88,0.07343999999999999,closed_loss,0.1,-2.2464,loss_cut,2026-04-14T15:52:45.961685,134.215182,0.1,,,,2026-04-14T15:55:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,coin_velocity,entry_threshold,liquidity_depth,risk_limits","time_remaining,entry_floor,vel_divergence,feed_count",Only 1s remaining,0.11862896995436144,0.12835127717964803,0.0,323.06710000000004,0.638943
1318,2026-04-14T15:51:53.950838,,,,,,1,,,doge-updown-5m-1776181800,,doge,single_leg,,0,down,0.27,,,,0.82,11.0,,,0,2.97,0.06552,closed_loss,0.14,-2.11112,loss_cut,2026-04-14T15:52:13.007944,167.223425,0.14,,,,2026-04-14T15:55:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,risk_limits","time_remaining,coin_velocity,entry_floor,feed_count",Only 1s remaining,0.03128584836792392,0.010426441455541656,0.0,83.8001,0.617541
1317,2026-04-14T15:51:53.949413,,,,,,1,,,sol-updown-5m-1776181800,,sol,single_leg,,0,down,0.25,,,,0.82,12.0,,,0,3.0,0.06695999999999999,closed_loss,0.2,-1.2912,loss_cut,2026-04-14T15:54:30.423485,29.749868,0.2,,,,2026-04-14T15:55:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,coin_velocity,entry_threshold,liquidity_depth,risk_limits","time_remaining,entry_floor,vel_divergence,feed_count",Only 1s remaining,0.11614401858305289,0.12777326054129332,0.0,83.68030000000002,0.633728
1316,2026-04-14T15:51:40.484685,,,,,,1,,,btc-updown-5m-1776181800,,btc,single_leg,,0,down,0.22,,,,0.82,13.0,,,0,2.86,0.06912,closed_loss,0.12,-2.1236800000000002,loss_cut,2026-04-14T15:52:33.098215,147.080633,0.12,,,,2026-04-14T15:55:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 1s remaining,0.03003339873057341,0.0,0.0,661.1792999999999,0.643327
1315,2026-04-14T15:50:18.651597,,,,,,1,,,btc-updown-5m-1776181800,,btc,single_leg,,0,up,0.56,,,,0.67,5.0,,,0,2.8000000000000003,0.05543999999999999,closed_win,0.69,0.3799999999999995,profit_target,2026-04-14T15:50:19.915426,280.315714,0.69,,,,2026-04-14T15:55:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 1s remaining,0.03003339873057341,0.0,0.0,661.1792999999999,0.643327
1314,2026-04-14T15:48:23.745277,,,,,,1,,,doge-updown-5m-1776181500,,doge,single_leg,,0,up,0.28,,,,0.82,10.0,,,0,2.8000000000000003,0.0648,closed_loss,0.15,-1.9120000000000001,loss_cut,2026-04-14T15:48:25.031931,95.213752,0.15,,,,2026-04-14T15:50:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,risk_limits","time_remaining,coin_velocity,entry_floor,feed_count",Only -0s remaining,0.052213868003350435,0.0,124.6563,0.0,-0.004684
1313,2026-04-14T15:47:20.555206,,,,,,1,,,btc-updown-5m-1776181500,,btc,single_leg,,0,up,0.16,,,,0.82,18.0,,,0,2.88,0.07343999999999999,closed_loss,0.1,-2.2464,loss_cut,2026-04-14T15:47:45.422909,134.752181,0.1,,,,2026-04-14T15:50:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 0s remaining,0.011915827234056424,0.0,18.33499,0.0,0.019301
1312,2026-04-14T15:45:57.699580,,,,,,1,,,eth-updown-5m-1776181500,,eth,single_leg,,0,up,0.56,,,,0.67,5.0,,,0,2.8000000000000003,0.05543999999999999,closed_win,0.63,0.058399999999999806,profit_target,2026-04-14T15:46:11.963710,228.22183,0.63,,,,2026-04-14T15:50:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,risk_limits","time_remaining,coin_velocity,entry_floor,feed_count",Only 0s remaining,0.01903223214249106,0.019455252918289475,201.0944,0.0,0.014243
1311,2026-04-14T15:45:46.312939,,,,,,1,,,btc-updown-5m-1776181500,,btc,single_leg,,0,up,0.5,,,,0.67,6.0,,,0,3.0,0.059759999999999994,closed_win,0.57,0.018239999999999715,profit_target,2026-04-14T15:45:49.932309,250.242488,0.57,,,,2026-04-14T15:50:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 0s remaining,0.011915827234056424,0.0,18.33499,0.0,0.019301
1310,2026-04-14T15:41:58.527378,,,,,,1,,,btc-updown-5m-1776181200,,btc,single_leg,,0,down,0.18,,,,0.82,16.0,,,0,2.88,0.07200000000000001,closed_loss,0.1,-2.3167999999999997,loss_cut,2026-04-14T15:42:24.624413,155.547826,0.1,,,,2026-04-14T15:45:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 0s remaining,0.04929426338009295,0.0,0.0,715.729,0.307931
1309,2026-04-14T15:37:52.038740,,,,,,1,,,doge-updown-5m-1776180900,,doge,single_leg,,0,down,0.19,,,,0.82,15.0,,,0,2.85,0.07128,closed_loss,0.1,-2.322,loss_cut,2026-04-14T15:37:53.329589,126.918982,0.1,,,,2026-04-14T15:40:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,coin_velocity,entry_threshold,vel_divergence,liquidity_depth,risk_limits","time_remaining,entry_floor,feed_count",Only 1s remaining,-0.15602246723527913,-0.08327261371915971,0.0,60.0678,0.516349
1308,2026-04-14T15:36:56.133327,,,,,,1,,,sol-updown-5m-1776180900,,sol,swing_leg,,0,down,0.33,,,,0.55,9.0,,,0,2.97,0.43415999999999993,closed_loss,0.17,-1.97784,loss_cut,2026-04-14T15:37:08.027606,172.148729,0.17,,,,2026-04-14T15:40:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,first_leg_price,not_already_arb,coin_velocity,vel_divergence,liquidity_depth,risk_limits","time_remaining,first_leg_floor,directional_neutrality,liquidity_symmetry,feed_count",Only 1s left — not enough time to leg in,-0.05813277525870406,-0.046511627906984016,0.0,192.4727,0.52865
1307,2026-04-14T15:36:51.979444,,,,,,1,,,xrp-updown-5m-1776180900,,xrp,single_leg,,0,down,0.25,,,,0.82,12.0,,,0,3.0,0.06695999999999999,closed_loss,0.13,-2.19168,loss_cut,2026-04-14T15:37:07.424184,172.750864,0.13,,,,2026-04-14T15:40:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,risk_limits","time_remaining,coin_velocity,entry_floor,feed_count",Only 1s remaining,-0.05811419439198997,-0.043591979075861376,0.0,158.7814,0.526503
1306,2026-04-14T15:36:44.733168,,,,,,1,,,btc-updown-5m-1776180900,,btc,single_leg,,0,down,0.17,,,,0.82,17.0,,,0,2.89,0.07271999999999999,closed_loss,0.08,-2.65608,loss_cut,2026-04-14T15:37:07.223805,172.955219,0.08,,,,2026-04-14T15:40:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 1s remaining,-0.0423257051382819,-0.04704110768255535,0.0,510.21770000000004,0.542317
